SMILES,Name,Cluster
CCCCOc1cccc(N2/C(=N\C(=O)CC#N)S[C@H]3CS(=O)(=O)C[C@H]32)c1,101310482,10
CCC(CC)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc2c(c1)OCO2,101318031,11
COc1ccc(OC)c(N2/C(=N\C(=O)C(C)(C)C)S[C@@H]3CS(=O)(=O)C[C@@H]32)c1,32504114,8
N#CCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccccc1C(F)(F)F,101308470,10
COc1ccc(OC)c(N2/C(=N\C(=O)C(C)(C)C)S[C@H]3CS(=O)(=O)C[C@H]32)c1,32504108,8
COc1ccc(N2/C(=N\C(=O)CC(C)C)S[C@@H]3CS(=O)(=O)C[C@H]32)c(OC)c1,101312725,8
CCCCOc1cccc(N2/C(=N\C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@@H]32)c1,101310489,10
CCCCOc1cccc(N2/C(=N\C(=O)COC)S[C@H]3CS(=O)(=O)C[C@@H]32)c1,101310529,1
CC(C)c1ccc(N2/C(=N\C(=O)CCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@H]32)cc1,101302226,1
COCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1c(Cl)cccc1Cl,101303817,1
CCCCOc1cccc(N2/C(=N\C(=O)CC#N)S[C@H]3CS(=O)(=O)C[C@@H]32)c1,101310484,10
CC(C)c1ccc(N2/C(=N\C(=O)CCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@@H]32)cc1,101302232,1
Cc1ccc(Cl)cc1N1/C(=N\C(=O)CCC(=O)O)S[C@H]2CS(=O)(=O)C[C@H]21,101303266,1
CCCCOc1cccc(N2/C(=N\C(=O)COC)S[C@@H]3CS(=O)(=O)C[C@@H]32)c1,101310532,1
Cc1cccc(N2/C(=N\C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@@H]32)c1C,101310649,1
O=C(/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Br)cc1)C1CC1,101075776,11
O=C(O)CCCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Cl)c1,101300889,1
Cc1ccc(N2/C(=N\C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@@H]32)cc1C,101318119,1
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@H]3CS(=O)(=O)C[C@@H]32)cc1,101301368,10
COc1ccc(OC)c(N2/C(=N\C(=O)C(C)(C)C)S[C@@H]3CS(=O)(=O)C[C@H]32)c1,32504112,8
CCc1cccc(CC)c1N1/C(=N\C(=O)CCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@H]21,101317003,1
Cc1ccc(N2/C(=N\C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@@H]32)cc1C,101318114,1
CC(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Br)c(C)c1,16741028,11
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@@H]32)cc1,101301376,10
CCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Br)c1,32634579,11
COc1ccc(N2/C(=N\C(=O)CC(C)C)S[C@@H]3CS(=O)(=O)C[C@@H]32)c(OC)c1,101312727,8
Cc1cc(C)cc(N2/C(=N\C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@@H]32)c1,101309337,1
CC[C@H](C)C(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1cc(OC)ccc1OC,32504188,8
CC[C@@H](C)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(OC)cc1OC,36638717,8
